order_id,invoice_id,product_id,count,discount
1,62,46,59,3
2,3,91,76,1
3,1,19,6,0
4,16,7,24,1
5,58,60,40,1
6,13,8,94,1
7,25,24,42,0
8,59,12,41,1
9,42,47,83,1
10,40,65,15,2
11,52,69,78,1
12,52,5,19,1
13,11,79,38,1
14,98,61,87,1
15,16,21,71,2
16,2,80,35,1
17,15,82,59,0
18,9,45,46,1
19,100,97,93,1
20,65,34,38,0
21,32,26,24,1
22,21,72,71,1
23,13,26,25,1
24,4,66,91,3
25,56,73,3,0
26,100,85,31,0
27,43,70,37,3
28,26,19,52,0
29,19,10,43,0
30,54,19,46,0
31,22,32,21,1
32,82,86,69,1
33,62,8,1,1
34,91,35,44,0
35,83,13,22,3
36,80,22,39,0
37,75,100,67,1
38,37,86,24,1
39,73,53,42,1
40,65,80,41,1
41,54,32,13,0
42,90,36,28,1
43,36,93,90,2
44,20,86,9,1
45,6,63,38,2
46,99,63,97,0
47,76,35,43,1
48,19,3,79,0
49,57,1,12,1
50,90,70,30,0
51,70,22,100,1
52,24,24,11,1
53,97,18,12,1
54,7,90,14,0
55,5,94,21,0
56,13,94,32,2
57,83,44,99,3
58,81,49,43,0
59,91,42,7,0
60,4,6,32,1
61,11,79,51,1
62,11,99,2,2
63,87,15,47,0
64,32,95,25,0
65,8,85,4,2
66,38,96,3,3
67,51,40,34,1
68,69,40,5,1
69,17,42,86,2
70,54,71,13,2
71,10,26,78,1
72,25,45,36,0
73,47,11,8,0
74,49,31,92,1
75,64,48,98,0
76,46,23,24,3
77,72,96,26,1
78,51,88,16,0
79,44,15,85,2
80,27,87,69,1
81,38,25,24,3
82,69,62,71,2
83,21,99,13,1
84,96,76,93,0
85,74,16,16,3
86,35,77,29,0
87,21,28,42,1
88,18,68,94,0
89,13,96,84,1
90,2,84,63,0
91,33,34,57,0
92,21,6,71,4
93,55,93,69,1
94,37,40,13,2
95,78,45,91,3
96,41,20,44,0
97,45,95,96,1
98,20,57,43,0
99,28,47,40,0
100,13,31,66,0
